epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3303,1.76857,2.95942,1.54675,0.4338,0.30187,0.16326,0.0451,2.19058,3.28051,3.29754,0.000656085,0.000656085,0.000656085
2,151.523,1.70749,2.05979,1.58374,0.65755,0.54545,0.59079,0.22077,2.02223,2.7473,2.01982,0.00129656,0.00129656,0.00129656
3,227.321,1.7866,1.92421,1.64726,0.16958,0.51515,0.1496,0.06962,2.21599,10.2343,2.94945,0.00191064,0.00191064,0.00191064
4,305.747,1.80488,1.89724,1.67325,0.8345,0.66667,0.77604,0.37333,1.90917,3.31985,2.27927,0.0018812,0.0018812,0.0018812
5,379.095,1.72415,1.67813,1.6111,0.82059,0.83185,0.84436,0.38944,1.84285,2.21671,2.15223,0.0018416,0.0018416,0.0018416
6,452.317,1.73841,1.5847,1.60588,0.75837,0.72727,0.8095,0.39969,1.64187,4.21173,1.83116,0.001802,0.001802,0.001802
7,519.357,1.67422,1.49868,1.56922,0.77619,0.81818,0.79945,0.35074,1.99831,2.79002,2.15245,0.0017624,0.0017624,0.0017624
8,596.442,1.6698,1.3994,1.55801,0.85381,0.84848,0.80499,0.41805,1.72159,2.15812,2.05982,0.0017228,0.0017228,0.0017228
9,671.177,1.61738,1.37171,1.53305,0.82276,0.72727,0.76359,0.41402,1.97139,1.76434,2.08206,0.0016832,0.0016832,0.0016832
10,746.723,1.58565,1.32512,1.50707,0.80557,0.75341,0.80589,0.41273,1.68348,1.85365,1.79705,0.0016436,0.0016436,0.0016436
11,821.721,1.52,1.24794,1.49116,0.79073,0.81818,0.80935,0.45726,1.62063,1.62403,1.77709,0.001604,0.001604,0.001604
12,897.219,1.56024,1.22752,1.49414,0.84272,0.84848,0.85713,0.46676,1.48654,1.65921,1.71516,0.0015644,0.0015644,0.0015644
13,969.747,1.56082,1.24427,1.48122,0.87418,0.84234,0.89541,0.45656,1.57208,1.77855,1.67089,0.0015248,0.0015248,0.0015248
14,1034.29,1.44619,1.12982,1.43827,0.8497,0.78788,0.85485,0.43503,1.54264,1.78578,1.68113,0.0014852,0.0014852,0.0014852
15,1099.4,1.5165,1.17615,1.46917,0.85563,0.72727,0.84409,0.42009,1.79212,1.92222,1.85097,0.0014456,0.0014456,0.0014456
16,1163.21,1.48467,1.13638,1.45962,0.80474,0.87435,0.88105,0.45589,1.61357,1.41127,1.61125,0.001406,0.001406,0.001406
17,1227.08,1.45537,1.0667,1.43848,0.89568,0.69697,0.83668,0.42799,1.88026,1.5112,1.84148,0.0013664,0.0013664,0.0013664
18,1290.94,1.40796,1.04315,1.41509,0.80121,0.81818,0.82655,0.37566,1.56132,1.60389,1.54859,0.0013268,0.0013268,0.0013268
19,1354.81,1.4018,1.06723,1.42931,0.87512,0.90909,0.91623,0.4997,1.5628,1.43872,1.56375,0.0012872,0.0012872,0.0012872
20,1417.72,1.41309,1.05431,1.41457,0.89591,0.78258,0.87631,0.49298,1.5546,1.58215,1.52826,0.0012476,0.0012476,0.0012476
21,1480.71,1.36633,1.04898,1.37861,0.83396,0.87879,0.8968,0.444,1.73435,1.35934,1.80536,0.001208,0.001208,0.001208
22,1544.37,1.3127,0.95527,1.35095,0.95479,0.81818,0.89973,0.48033,1.65338,1.81956,1.62349,0.0011684,0.0011684,0.0011684
23,1610.66,1.4098,0.98314,1.40064,0.94265,0.84848,0.92739,0.49146,1.66356,1.28541,1.65958,0.0011288,0.0011288,0.0011288
24,1688.61,1.31439,0.92673,1.33697,0.88811,0.84848,0.87695,0.41273,1.89663,1.02929,1.91558,0.0010892,0.0010892,0.0010892
25,1764.12,1.29974,0.89874,1.29627,0.91726,0.72727,0.88445,0.48573,1.71015,1.95882,1.70559,0.0010496,0.0010496,0.0010496
26,1843.96,1.31927,0.88348,1.31721,0.82345,0.84848,0.88544,0.47853,1.89752,1.36358,2.02389,0.00101,0.00101,0.00101
27,1916.64,1.29173,0.92916,1.33855,0.86979,0.80989,0.88627,0.47547,1.9239,1.14586,1.99872,0.0009704,0.0009704,0.0009704
28,1982.63,1.26293,0.86205,1.31042,0.901,0.90909,0.92542,0.51056,1.67736,1.59912,1.70024,0.0009308,0.0009308,0.0009308
29,2050.26,1.24251,0.83199,1.27258,0.93713,0.90348,0.94959,0.52333,1.70672,1.57245,1.5842,0.0008912,0.0008912,0.0008912
30,2126.28,1.25611,0.85353,1.29262,0.80743,0.78788,0.8671,0.42723,1.80277,1.21857,1.84255,0.0008516,0.0008516,0.0008516
31,2198.96,1.25869,0.88926,1.28641,0.92467,0.87879,0.92209,0.46138,1.8767,1.99243,1.64976,0.000812,0.000812,0.000812
32,2266.5,1.19359,0.81741,1.27138,0.90479,0.8642,0.91114,0.50275,1.90378,1.39374,1.88572,0.0007724,0.0007724,0.0007724
33,2332.29,1.17006,0.78771,1.24768,0.91999,0.84848,0.91786,0.475,1.66114,1.3607,1.61897,0.0007328,0.0007328,0.0007328
34,2397.66,1.11454,0.76162,1.22675,0.85705,0.90909,0.93035,0.5222,1.58777,1.69996,1.69288,0.0006932,0.0006932,0.0006932
35,2457.95,1.17351,0.77302,1.25064,0.86795,0.84848,0.89336,0.49478,1.57335,1.96997,1.727,0.0006536,0.0006536,0.0006536
36,2518.73,1.14524,0.79056,1.22722,0.88172,0.93939,0.94534,0.46785,1.82092,1.914,1.74912,0.000614,0.000614,0.000614
37,2579.54,1.1353,0.76446,1.21945,0.86417,0.81818,0.9172,0.46414,1.82822,1.62488,1.84136,0.0005744,0.0005744,0.0005744
38,2640.68,1.08573,0.73674,1.20547,0.76184,0.87256,0.85665,0.48022,1.65832,1.79406,1.79883,0.0005348,0.0005348,0.0005348
39,2701.58,1.10005,0.73584,1.22064,0.95852,0.90909,0.94991,0.49274,1.75917,1.70284,1.8389,0.0004952,0.0004952,0.0004952
40,2762.44,1.10876,0.71447,1.19484,0.89836,0.90909,0.89735,0.48221,1.51848,1.79892,1.55516,0.0004556,0.0004556,0.0004556
41,2824.37,1.01047,0.62976,1.19474,0.8565,0.87879,0.91222,0.50383,1.45278,1.93799,1.5559,0.000416,0.000416,0.000416
42,2886.55,0.99647,0.60588,1.17397,0.90039,0.90909,0.93157,0.50769,1.56682,1.99542,1.64197,0.0003764,0.0003764,0.0003764
43,2948.45,0.94128,0.57235,1.15215,0.90747,0.90909,0.93583,0.47223,1.50456,1.93226,1.59848,0.0003368,0.0003368,0.0003368
44,3008.85,0.9129,0.56233,1.12599,0.87878,0.93939,0.95529,0.49038,1.53425,2.13848,1.64418,0.0002972,0.0002972,0.0002972
